cidade,latitude,longitude
Abaetetuba,-1.721828,-48.878842999999996
Acará,-1.954818,-48.198985
Afuá,-0.157258,-50.392534
Alenquer,-1.947305,-54.739305
Altamira,-3.204065,-52.209961
Anajás,-0.985624,-49.935208
Ananindeua,-1.3740350000000001,-48.4016623
Anapu,-3.470480,-51.201135
Augusto Corrêa,-1.024920,-46.645779
Aurora do Pará,-2.133106,-47.560638
Barcarena,-1.5107945,-48.6190679
Belém,-1.45056,-48.4682453
Benevides,-1.3555576999999999,-48.252235
Bragança,-1.060965,-46.783171
Breves,-1.681584,-50.477407
Bujaru,-1.518405,-48.037077
Cachoeira do Arari,-1.014431,-48.962152
Cametá,-2.2429490000000003,-49.497885
Canaã dos Carajás,-6.529608,-49.850191
Capanema,-1.204301,-47.179563
Capitão Poço,-1.748240,-47.063338
Castanhal,-1.2927031,-47.922390299999996
Colares,-0.930452,-48.288747
Conceição do Araguaia,-8.262360, -49.266794
Concórdia do Pará,-1.993441,-47.944809
Curionópolis,-6.100109,-49.607223
Curralinho,-1.812219,-49.795675
Curuçá,-0.733863,-47.852173
Garrafão do Norte,-1.930970,-47.051183
Goianésia do Pará,-3.8380998,-49.097799200000004
Igarapé-Açu,-1.136465,-47.617997
Inhangapi,-1.431272,-47.913789
Itaituba,-4.2625218,-55.9878139
Juruti,-2.163265,-56.095233
Limoeiro do Ajuru,-1.894609,-49.381441
Mãe do Rio,-2.052531,-47.552435
Marabá,-5.3462821,-49.1007401
Marapanim,-0.711103,-47.697607
Marituba,-1.3595306,-48.336150399999994
Monte Alegre,-1.998481,-54.072939
Muaná,-1.530477,-49.219227
Nova Ipixuna,-4.915751,-49.081379
Nova Timboteua,-1.203697,-47.388942
Novo Progresso,-7.037488400000001,-55.4185904
Óbidos,-1.902076,-55.521328
Oeiras do Pará,-2.0040813,-49.8596065
Oriximiná,-1.762099,-55.864036
Ourém,-1.550906,-47.117029
Pacajá,-3.838924,-50.637496
Parauapebas,-6.0696845999999995,-49.8903283
Ponta de Pedras,-1.394257,-48.872900
Porto de Moz,-1.747605,-52.236544
Primavera,-0.945862,-47.125646
Quatipuru,-0.895948,-47.004975
Redenção,-8.040087,-50.022110
Rondon do Pará,-4.774781,-48.067397
Salinópolis,-0.623739,-47.345832
Salvaterra,-0.755779,-48.515609
Santa Bárbara do Pará,-1.223762,-48.294364
Santa Cruz do Arari,-0.664748, -49.173036
Santa Izabel do Pará,-1.299005,-48.156703
Santa Maria do Pará,-1.347130,-47.577522
Santarém,-2.438489,-54.699611
Santo Antônio do Tauá,-1.1522,-48.131446000000004
São Caetano de Odivelas,-0.749622,-48.019436
São Geraldo do Araguaia,-6.394715,-48.559169
São João de Pirabas,-0.770055,-47.173891
São Miguel do Guamá,-1.614816, -47.481386
São Sebastião da Boa Vista,-1.716467,-49.533648
Tailândia,-2.938135,-48.951063
Terra Alta,-1.039121,-47.906850
Tracuateua,-1.078828,-46.906049
Tucumã,-6.751957,-51.150455
Tucuruí,-3.7738509,-49.6708204
Vigia de Nazaré,-0.856609,-48.140662
Viseu,-1.208192,-46.136791
Xinguara,-7.100057,-49.942303
Paragominas,-2.995631,-47.354962
Tomé-Açu,-2.419608,-48.148541
